timestamp,queries_num,queries_requested,errors_occurred,iter_errors_occurred,average_latency,99_9_latency_percentile,mean_rate,one_minute_rate,five_minute_rate,fifteen_minute_rate,total_connections,connection_timeouts,requests_timeouts,count,min,max,mean,std_dev,median,75th_percentile,95th_percentile,98th_percentile,99th_percentile,99_9th_percentile,d_min,d_max,d_mean,d_std_dev,d_median,d_75th_percentile,d_95th_percentile,d_98th_percentile,d_99th_percentile,d_99_9th_percentile,w_min,w_max,w_mean,w_std_dev,w_median,w_75th_percentile,w_95th_percentile,w_98th_percentile,w_99th_percentile,w_99_9th_percentile
1770398208,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770398208,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770398209,9,0,0,0,5,3,0.05957369412947343,0,0,0,2,8,0,9,5,7,5.777777777777778,0.97182531580755,5,7,7,7,7,7,5,7,5.777777777777778,0.97182531580755,5,7,7,7,7,7,5,7,5.777777777777778,0.97182531580755,5,7,7,7,7,7
1770398210,16,0,0,0,5,3,0.11178825369671498,0,0,0,2,8,0,16,4,7,5.375,0.8850612031567835,5,5.583333333333334,7,7,7,7,4,7,5.375,0.8850612031567835,5,5.583333333333334,7,7,7,7,4,7,5.375,0.8850612031567835,5,5.583333333333334,7,7,7,7
1770398211,24,0,0,0,5,3,0.15678788585806577,0,0,0,2,8,0,24,4,7,5.041666666666666,0.9078961186825509,5,5,7,7,7,7,4,7,5.041666666666666,0.9078961186825509,5,5,7,7,7,7,4,7,5.041666666666666,0.9078961186825509,5,5,7,7,7,7
1770398212,31,0,0,0,4,3,0.20769269935675375,0,0,0,2,8,0,31,4,7,4.935483870967741,0.8538338585840434,5,5,7,7,7,7,4,7,4.935483870967741,0.8538338585840434,5,5,7,7,7,7,4,7,4.935483870967741,0.8538338585840434,5,5,7,7,7,7
1770398213,39,0,0,0,4,3,0.25149338756951045,0,0,0,2,8,0,39,4,7,4.897435897435897,0.787897662165515,5,5,7,7,7,7,4,7,4.897435897435897,0.787897662165515,5,5,7,7,7,7,4,7,4.897435897435897,0.787897662165515,5,5,7,7,7,7
1770398214,46,0,0,0,4,3,0.3011401650317651,0.6236535658912783,0.12892266019138357,0.04321318556180551,2,8,0,46,4,7,4.804347826086956,0.7780192861760148,5,5,7,7,7,7,4,7,4.804347826086956,0.7780192861760148,5,5,7,7,7,7,4,7,4.804347826086956,0.7780192861760148,5,5,7,7,7,7
1770398215,54,0,0,0,4,3,0.3437886882960477,0.6236535658912783,0.12892266019138357,0.04321318556180551,2,8,0,54,4,7,4.796296296296295,0.7618158453656465,5,5,6.950000000000003,7,7,7,4,7,4.796296296296295,0.7618158453656465,5,5,6.950000000000003,7,7,7,4,7,4.796296296296295,0.7618158453656465,5,5,6.950000000000003,7,7,7
1770398216,61,0,0,0,4,3,0.38589768108792527,0.6236535658912783,0.12892266019138357,0.04321318556180551,2,8,0,61,4,7,4.754098360655737,0.7671535636128757,5,5,6.600000000000001,7,7,7,4,7,4.754098360655737,0.7671535636128757,5,5,6.600000000000001,7,7,7,4,7,4.754098360655737,0.7671535636128757,5,5,6.600000000000001,7,7,7
1770398217,69,0,0,0,4,3,0.433763401273899,0.6236535658912783,0.12892266019138357,0.04321318556180551,2,8,0,69,4,7,4.753623188405797,0.7357628514487785,5,5,6.199999999999989,7,7,7,4,7,4.753623188405797,0.7357628514487785,5,5,6.199999999999989,7,7,7,4,7,4.753623188405797,0.7357628514487785,5,5,6.199999999999989,7,7,7
1770398218,77,0,0,0,4,3,0.4810287115440796,1.165460311704939,0.24910299776900094,0.08397090270936472,2,8,0,76,4,7,4.710526315789474,0.7269257545524018,5,5,6,7,7,7,4,7,4.710526315789474,0.7269257545524018,5,5,6,7,7,7,4,7,4.710526315789474,0.7269257545524018,5,5,6,7,7,7
1770398219,84,0,0,0,4,3,0.521502467788573,1.165460311704939,0.24910299776900094,0.08397090270936472,2,8,0,84,4,7,4.6904761904761925,0.7109503308391186,5,5,6,7,7,7,4,7,4.6904761904761925,0.7109503308391186,5,5,6,7,7,7,4,7,4.6904761904761925,0.7109503308391186,5,5,6,7,7,7
1770398220,92,0,0,0,4,3,0.5676452134507154,1.165460311704939,0.24910299776900094,0.08397090270936472,2,8,0,91,4,7,4.6483516483516505,0.7051182150474465,5,5,6,7,7,7,4,7,4.6483516483516505,0.7051182150474465,5,5,6,7,7,7,4,7,4.6483516483516505,0.7051182150474465,5,5,6,7,7,7
1770398221,99,0,0,0,4,3,0.6070902584998941,1.165460311704939,0.24910299776900094,0.08397090270936472,2,8,0,99,4,7,4.636363636363639,0.6918556156814131,5,5,6,7,7,7,4,7,4.636363636363639,0.6918556156814131,5,5,6,7,7,7,4,7,4.636363636363639,0.6918556156814131,5,5,6,7,7,7
1770398222,106,0,0,0,4,3,0.6521454035810135,1.165460311704939,0.24910299776900094,0.08397090270936472,2,8,0,106,4,7,4.613207547169814,0.6841157618134122,5,5,6,7,7,7,4,7,4.613207547169814,0.6841157618134122,5,5,6,7,7,7,4,7,4.613207547169814,0.6841157618134122,5,5,6,7,7,7
1770398223,114,0,0,0,4,3,0.6906007151050604,1.165460311704939,0.24910299776900094,0.08397090270936472,2,8,0,114,4,7,4.587719298245617,0.6758986611580581,5,5,5.949999999999989,7,7,7,4,7,4.587719298245617,0.6758986611580581,5,5,5.949999999999989,7,7,7,4,7,4.587719298245617,0.6758986611580581,5,5,5.949999999999989,7,7,7
1770398224,122,0,0,0,4,3,0.7346139401671996,1.679937699073422,0.3706026383229095,0.12561084630797367,2,8,0,121,4,7,4.578512396694218,0.667733306489231,5,5,5.59999999999998,7,7,7,4,7,4.578512396694218,0.667733306489231,5,5,5.59999999999998,7,7,7,4,7,4.578512396694218,0.667733306489231,5,5,5.59999999999998,7,7,7
1770398225,129,0,0,0,4,3,0.7721149582706378,1.679937699073422,0.3706026383229095,0.12561084630797367,2,8,0,129,4,7,4.589147286821708,0.6686320351655404,5,5,6,7,7,7,4,7,4.589147286821708,0.6686320351655404,5,5,6,7,7,7,4,7,4.589147286821708,0.6686320351655404,5,5,6,7,7,7
