timestamp,queries_num,queries_requested,errors_occurred,iter_errors_occurred,average_latency,99_9_latency_percentile,mean_rate,one_minute_rate,five_minute_rate,fifteen_minute_rate,total_connections,connection_timeouts,requests_timeouts,count,min,max,mean,std_dev,median,75th_percentile,95th_percentile,98th_percentile,99th_percentile,99_9th_percentile,d_min,d_max,d_mean,d_std_dev,d_median,d_75th_percentile,d_95th_percentile,d_98th_percentile,d_99th_percentile,d_99_9th_percentile,w_min,w_max,w_mean,w_std_dev,w_median,w_75th_percentile,w_95th_percentile,w_98th_percentile,w_99th_percentile,w_99_9th_percentile
1770398208,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770398208,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770398209,3,0,0,0,98,1,0.03295659524644994,0,0,0,2,4,0,2,78,118,98,28.284271247461902,98,118,118,118,118,118,78,118,98,28.284271247461902,98,118,118,118,118,118,78,118,98,28.284271247461902,98,118,118,118,118,118
1770398210,5,0,0,0,64,1,0.05433093361465228,0,0,0,2,4,0,5,37,118,64.4,34.13649073938327,50,91.33333333333331,118,118,118,118,37,118,64.4,34.13649073938327,50,91.33333333333331,118,118,118,118,37,118,64.4,34.13649073938327,50,91.33333333333331,118,118,118,118
1770398211,8,0,0,0,55,1,0.08599520554030678,0,0,0,2,4,0,7,33,118,55.85714285714286,31.471831698777724,39,73.33333333333333,118,118,118,118,33,118,55.85714285714286,31.471831698777724,39,73.33333333333333,118,118,118,118,33,118,55.85714285714286,31.471831698777724,39,73.33333333333333,118,118,118,118
1770398212,10,0,0,0,49,1,0.10634996739370886,0,0,0,2,4,0,10,32,118,49.5,27.717824189098568,38,52.33333333333335,118,118,118,118,32,118,49.5,27.717824189098568,38,52.33333333333335,118,118,118,118,32,118,49.5,27.717824189098568,38,52.33333333333335,118,118,118,118
1770398213,13,0,0,0,46,1,0.1368002910143667,0.1918934048896241,0.039668510828118016,0.013296364788247849,2,4,0,12,31,118,46.583333333333336,25.98411519417666,36.5,45.41666666666667,118,118,118,118,31,118,46.583333333333336,25.98411519417666,36.5,45.41666666666667,118,118,118,118,31,118,46.583333333333336,25.98411519417666,36.5,45.41666666666667,118,118,118,118
1770398214,15,0,0,0,43,1,0.15620299876011315,0.1918934048896241,0.039668510828118016,0.013296364788247849,2,4,0,15,31,118,43.53333333333334,23.88324776510774,33,39,114.00000000000001,118,118,118,31,118,43.53333333333334,23.88324776510774,33,39,114.00000000000001,118,118,118,31,118,43.53333333333334,23.88324776510774,33,39,114.00000000000001,118,118,118
1770398215,17,0,0,0,41,1,0.17520597443952232,0.1918934048896241,0.039668510828118016,0.013296364788247849,2,4,0,17,24,118,41.52941176470589,23.062734137182282,33,39,109.99999999999989,118,118,118,24,118,41.52941176470589,23.062734137182282,33,39,109.99999999999989,118,118,118,24,118,41.52941176470589,23.062734137182282,33,39,109.99999999999989,118,118,118
1770398216,20,0,0,0,39,1,0.20402253323142824,0.1918934048896241,0.039668510828118016,0.013296364788247849,2,4,0,20,24,118,39.1,21.983007791904804,32.5,38.16666666666667,103.9999999999998,118,118,118,24,118,39.1,21.983007791904804,32.5,38.16666666666667,103.9999999999998,118,118,118,24,118,39.1,21.983007791904804,32.5,38.16666666666667,103.9999999999998,118,118,118
1770398217,23,0,0,0,37,1,0.2322569017063474,0.1918934048896241,0.039668510828118016,0.013296364788247849,2,4,0,22,22,118,37.59090909090909,21.47348107807371,32,37.166666666666664,99.99999999999989,118,118,118,22,118,37.59090909090909,21.47348107807371,32,37.166666666666664,99.99999999999989,118,118,118,22,118,37.59090909090909,21.47348107807371,32,37.166666666666664,99.99999999999989,118,118,118
1770398218,25,0,0,0,35,1,0.24992740782961512,0.1918934048896241,0.039668510828118016,0.013296364788247849,2,4,0,25,22,118,35.800000000000004,20.6881608655772,31,36.33333333333333,93.9999999999998,118,118,118,22,118,35.800000000000004,20.6881608655772,31,36.33333333333333,93.9999999999998,118,118,118,22,118,35.800000000000004,20.6881608655772,31,36.33333333333333,93.9999999999998,118,118,118
1770398219,27,0,0,0,34,1,0.26725128444717483,0.3844349773366614,0.08198706807886233,0.02762709609360712,2,4,0,27,22,118,34.814814814814824,20.191462470439248,31,35.5,89.99999999999989,118,118,118,22,118,34.814814814814824,20.191462470439248,31,35.5,89.99999999999989,118,118,118,22,118,34.814814814814824,20.191462470439248,31,35.5,89.99999999999989,118,118,118
1770398220,30,0,0,0,33,1,0.29403541868758765,0.3844349773366614,0.08198706807886233,0.02762709609360712,2,4,0,30,15,118,33.03333333333334,19.881516859728738,30,33.25,83.9999999999998,118,118,118,15,118,33.03333333333334,19.881516859728738,30,33.25,83.9999999999998,118,118,118,15,118,33.03333333333334,19.881516859728738,30,33.25,83.9999999999998,118,118,118
1770398221,33,0,0,0,31,1,0.32030014818288405,0.3844349773366614,0.08198706807886233,0.02762709609360712,2,4,0,32,14,118,31.875000000000004,19.76270518246508,27.5,33,80.00000000000003,118,118,118,14,118,31.875000000000004,19.76270518246508,27.5,33,80.00000000000003,118,118,118,14,118,31.875000000000004,19.76270518246508,27.5,33,80.00000000000003,118,118,118
1770398222,35,0,0,0,30,1,0.33644371716638233,0.3844349773366614,0.08198706807886233,0.02762709609360712,2,4,0,35,11,118,30.171428571428574,19.70142681349234,26,33,75.20000000000016,116.40000000000003,118,118,11,118,30.171428571428574,19.70142681349234,26,33,75.20000000000016,116.40000000000003,118,118,11,118,30.171428571428574,19.70142681349234,26,33,75.20000000000016,116.40000000000003,118,118
1770398223,38,0,0,0,29,1,0.3618044661886167,0.5455906585763699,0.12030045186620869,0.04077040257031306,2,4,0,37,10,118,29.135135135135137,19.645698090255113,24,33,72.40000000000012,114.80000000000007,118,118,10,118,29.135135135135137,19.645698090255113,24,33,72.40000000000012,114.80000000000007,118,118,10,118,29.135135135135137,19.645698090255113,24,33,72.40000000000012,114.80000000000007,118,118
1770398224,40,0,0,0,27,1,0.3772551194174997,0.5455906585763699,0.12030045186620869,0.04077040257031306,2,4,0,40,10,118,27.800000000000004,19.46489278886609,23.5,32.58333333333333,68.20000000000016,112.40000000000026,118,118,10,118,27.800000000000004,19.46489278886609,23.5,32.58333333333333,68.20000000000016,112.40000000000026,118,118,10,118,27.800000000000004,19.46489278886609,23.5,32.58333333333333,68.20000000000016,112.40000000000026,118,118
1770398225,43,0,0,0,26,1,0.40176035458609327,0.5455906585763699,0.12030045186620869,0.04077040257031306,2,4,0,42,10,118,26.97619047619048,19.347260592927327,23,32.083333333333336,65.40000000000012,110.8000000000003,118,118,10,118,26.97619047619048,19.347260592927327,23,32.083333333333336,65.40000000000012,110.8000000000003,118,118,10,118,26.97619047619048,19.347260592927327,23,32.083333333333336,65.40000000000012,110.8000000000003,118,118
1770398226,45,0,0,0,25,1,0.4165554038427625,0.5455906585763699,0.12030045186620869,0.04077040257031306,2,4,0,45,10,118,25.888888888888893,19.124261390636075,23,32,61.20000000000016,108.4000000000002,118,118,10,118,25.888888888888893,19.124261390636075,23,32,61.20000000000016,108.4000000000002,118,118,10,118,25.888888888888893,19.124261390636075,23,32,61.20000000000016,108.4000000000002,118,118
1770398227,48,0,0,0,25,1,0.44025084019428085,0.5455906585763699,0.12030045186620869,0.04077040257031306,2,4,0,47,10,118,25.255319148936174,18.9501268610029,23,31.833333333333336,58.40000000000012,106.80000000000024,118,118,10,118,25.255319148936174,18.9501268610029,23,31.833333333333336,58.40000000000012,106.80000000000024,118,118,10,118,25.255319148936174,18.9501268610029,23,31.833333333333336,58.40000000000012,106.80000000000024,118,118
1770398228,50,0,0,0,24,1,0.45442674104139646,0.5455906585763699,0.12030045186620869,0.04077040257031306,2,4,0,50,10,118,24.380000000000003,18.692888531007,22,31.083333333333336,54.20000000000016,104.40000000000015,118,118,10,118,24.380000000000003,18.692888531007,22,31.083333333333336,54.20000000000016,104.40000000000015,118,118,10,118,24.380000000000003,18.692888531007,22,31.083333333333336,54.20000000000016,104.40000000000015,118,118
1770398229,53,0,0,0,23,1,0.4773534231622988,0.7098521600608827,0.1612862803560523,0.05494892353044048,2,4,0,52,10,118,23.82692307692308,18.53425144486331,22,31,51.40000000000012,102.80000000000018,118,118,10,118,23.82692307692308,18.53425144486331,22,31,51.40000000000012,102.80000000000018,118,118,10,118,23.82692307692308,18.53425144486331,22,31,51.40000000000012,102.80000000000018,118,118
1770398230,55,0,0,0,23,1,0.49094586886300917,0.7098521600608827,0.1612862803560523,0.05494892353044048,2,4,0,55,10,118,23.090909090909097,18.2759432317487,18,31,48.90000000000006,100.40000000000009,118,118,10,118,23.090909090909097,18.2759432317487,18,31,48.90000000000006,100.40000000000009,118,118,10,118,23.090909090909097,18.2759432317487,18,31,48.90000000000006,100.40000000000009,118,118
1770398231,58,0,0,0,22,1,0.5131420564849202,0.7098521600608827,0.1612862803560523,0.05494892353044048,2,4,0,57,10,118,22.64912280701755,18.098432477575603,18,31,47.80000000000005,98.80000000000013,118,118,10,118,22.64912280701755,18.098432477575603,18,31,47.80000000000005,98.80000000000013,118,118,10,118,22.64912280701755,18.098432477575603,18,31,47.80000000000005,98.80000000000013,118,118
1770398232,60,0,0,0,22,1,0.5261810845866683,0.7098521600608827,0.1612862803560523,0.05494892353044048,2,4,0,60,10,118,22.100000000000005,17.800876002058942,15,30.16666666666667,46.149999999999984,96.40000000000003,118,118,10,118,22.100000000000005,17.800876002058942,15,30.16666666666667,46.149999999999984,96.40000000000003,118,118,10,118,22.100000000000005,17.800876002058942,15,30.16666666666667,46.149999999999984,96.40000000000003,118,118
1770398233,63,0,0,0,21,1,0.5476873423126933,0.8449889199661996,0.19828896345136576,0.06794086293036239,2,4,0,62,10,118,21.74193548387097,17.618856779748157,14.5,29.16666666666667,45.05000000000005,94.80000000000007,118,118,10,118,21.74193548387097,17.618856779748157,14.5,29.16666666666667,45.05000000000005,94.80000000000007,118,118,10,118,21.74193548387097,17.618856779748157,14.5,29.16666666666667,45.05000000000005,94.80000000000007,118,118
1770398234,65,0,0,0,21,1,0.5602046521205255,0.8449889199661996,0.19828896345136576,0.06794086293036239,2,4,0,65,9,118,21.738461538461543,17.59996175695146,14,29.66666666666667,47.599999999999966,92.39999999999941,118,118,9,118,21.738461538461543,17.59996175695146,14,29.66666666666667,47.599999999999966,92.39999999999941,118,118,9,118,21.738461538461543,17.59996175695146,14,29.66666666666667,47.599999999999966,92.39999999999941,118,118
